0    [main] DEBUG ru.nsu.gordin.Main  - DEBUUUUGGG
2    [main] INFO  ru.nsu.gordin.Main  - factory init
0    [main] DEBUG ru.nsu.gordin.Main  - DEBUUUUGGG
1    [main] INFO  ru.nsu.gordin.Main  - creating factory
3    [main] INFO  ru.nsu.gordin.Main  - factory init
4    [main] DEBUG ru.nsu.gordin.AbstractFactory  - void AbstractFactory.init(String filename = ru/nsu/gordin/initFile)
4    [main] INFO  ru.nsu.gordin.Main  - creating controller
6    [main] INFO  ru.nsu.gordin.Main  - creating viewer
8    [main] INFO  ru.nsu.gordin.Main  - controller run...
9    [main] DEBUG ru.nsu.gordin.Controller  - void Controller.run(Abstract factory fact = ru.nsu.gordin.AbstractFactory@43ee1619, Viewer viewer = ru.nsu.gordin.Viewer@43ece626)
5660 [main] DEBUG ru.nsu.gordin.AbstractFactory  - Command AbstractFactory.create(String key = INIT)
5692 [main] DEBUG ru.nsu.gordin.Model  - boolean Model.init(int width = 20, int heigth = 20, int x1 = 3, int y1 = 3)
5692 [main] DEBUG ru.nsu.gordin.Viewer  - void Viewer.print(Model = ru.nsu.gordin.Model@33ff9a48)
5692 [main] DEBUG ru.nsu.gordin.Model  - char[][] Model.getField()
5692 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
5692 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
5693 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
5693 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
5693 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
5693 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
5693 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
5694 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
5694 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
5694 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
5694 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
5694 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
5694 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
5694 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
5694 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
5694 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
5694 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
5694 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
5694 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
5694 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
5694 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
5695 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
5695 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
5695 [main] DEBUG ru.nsu.gordin.Model  - int Model.getY()
5695 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
5695 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
5695 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
5695 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
5695 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
5695 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
5695 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
5695 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
5695 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
5695 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
5696 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
5696 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
5696 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
5696 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
5696 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
5696 [main] DEBUG ru.nsu.gordin.Model  - int Model.getX()
10758 [main] DEBUG ru.nsu.gordin.AbstractFactory  - Command AbstractFactory.create(String key = MOVE)
